n,days,seed_inst,coverage_ratio,seed_sa,z_greedy,feas_greedy,z_sa,feas_sa,t_sa,sa_iters,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref
8,14,1,1.1,26,20.150806789857157,False,0.4728487886382623,True,1.6474977080069948,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,27,20.150806789857157,False,0.4728487886382623,True,1.6485230830003275,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,28,20.150806789857157,False,0.4728487886382623,True,1.6459058330074186,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,29,20.150806789857157,False,0.4728487886382623,True,1.6436643750057556,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,2,1.1,0,0.7088995470290435,True,0.4501865174527045,True,1.687356834008824,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,1,0.7088995470290435,True,0.4501865174527045,True,1.6812619999982417,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,2,0.7088995470290435,True,0.4501865174527045,True,1.6836877919995459,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,3,0.7088995470290435,True,0.4807620570210498,True,1.7068847920018015,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,20.75,1.0,1.0,0.0,0.0
8,14,2,1.1,4,0.7088995470290435,True,0.4501865174527045,True,1.6966090839996468,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,5,0.7088995470290435,True,0.48966160405009324,True,1.6938952499913285,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,13.75,2.0,1.0,0.0,0.0
8,14,2,1.1,6,0.7088995470290435,True,0.4501865174527045,True,1.6944967500021448,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,7,0.7088995470290435,True,0.500452970956568,True,1.6944263330078684,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,15.25,2.0,1.0,0.0,0.0
8,14,2,1.1,8,0.7088995470290435,True,0.4501865174527045,True,1.683840165991569,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,9,0.7088995470290435,True,0.4501865174527045,True,1.6889267499936977,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,10,0.7088995470290435,True,0.4501865174527045,True,1.686419042001944,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,11,0.7088995470290435,True,0.4501865174527045,True,1.6959899999928894,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,12,0.7088995470290435,True,0.4807620570210498,True,1.6884875410032691,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,20.75,1.0,1.0,0.0,0.0
8,14,2,1.1,13,0.7088995470290435,True,0.4501865174527045,True,1.6884681249939604,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,14,0.7088995470290435,True,0.4501865174527045,True,1.6963012500054901,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,15,0.7088995470290435,True,0.4501865174527045,True,1.6863742910063593,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,16,0.7088995470290435,True,0.48966160405009324,True,1.6943229589960538,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,13.75,2.0,1.0,0.0,0.0
8,14,2,1.1,17,0.7088995470290435,True,0.4501865174527045,True,1.6927495419949992,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,18,0.7088995470290435,True,0.4501865174527045,True,1.6958240419917274,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,19,0.7088995470290435,True,0.4501865174527045,True,1.6936290839948924,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,20,0.7088995470290435,True,0.4501865174527045,True,1.6890399580006488,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,21,0.7088995470290435,True,0.4501865174527045,True,1.6867841250059428,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
8,14,2,1.1,22,0.7088995470290435,True,0.4501865174527045,True,1.6920591660018545,100000,0.0,4.0,27.75,4.0,1.0,0.0,0.0,0.0,4.0,16.5,1.0,1.0,0.0,0.0
