n,days,seed,coverage_ratio,regime,coverage_mode,z_greedy,feas_greedy,t_greedy,z_sa,feas_sa,t_sa,sa_stop,sa_iters,z_exact,proven,gap_solver,dual_bound,match,n_vars,n_cons,t_exact,ref,dz_greedy,gap_greedy,dz_sa,gap_sa,exact_error,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref,exact_p_cob,exact_p_erg,exact_p_car,exact_p_gua,exact_p_cal,exact_p_over,exact_pref
30,21,0,1.1,bounded,hard,7.179082238254134,False,9.348962916992605,0.449741161301747,True,43.67288620801992,max_iterations,410400,0.2769016551289075,False,0.18271174056102452,0.2263084751358141,True,2832,4746,300.34110116699594,0.2263084751358141,6.95277376311832,30.722551415477326,0.22343268616593293,0.9872926147898115,,1.0,13.0,414.0,8.0,2.0,24.0,0.0,0.0,14.0,152.0,2.0,1.0,0.0,0.0,0.0,14.0,12.0,2.0,1.0,0.0,0.0
30,21,1,1.1,certified,hard,7.047033849483094,False,6.24614666600246,0.6484542345561033,True,47.71320712499437,max_iterations,408000,0.2592844121419764,True,1.2821765478765126e-07,0.25928438383519986,True,2826,4701,59.03320299999905,0.2592844121419764,6.787749437341118,26.178779438635704,0.3891698224141269,1.5009379823459235,,1.0,12.0,343.33333333333326,8.0,2.0,12.0,0.0,0.0,13.0,209.33333333333346,2.0,2.0,0.0,0.0,0.0,13.0,35.00000000000014,1.0,1.0,0.0,0.0
30,21,2,1.1,bounded,hard,13.126372010034407,False,14.24379416598822,0.6360339306145427,True,39.16185145798954,max_iterations,408000,0.2659614930746337,False,0.09516227842555737,0.240651920242986,True,2826,4746,300.76400966601796,0.240651920242986,12.885720089791421,53.54505410462016,0.39538201037155674,1.642962208538955,,2.0,13.0,403.3999999999999,8.0,2.0,18.0,0.0,0.0,13.0,194.06666666666672,2.0,2.0,4.0,0.0,0.0,13.0,40.46666666666664,1.0,1.0,0.0,0.0
30,21,3,1.1,bounded,hard,7.152339457087862,False,4.255125290976139,0.6428294594872226,True,21.89487658298458,max_iterations,408000,0.28899719677929825,False,0.17023633081107695,0.23979937438490345,True,2826,4686,300.36210550001124,0.23979937438490345,6.912540082702959,28.82634744329065,0.40303008510231914,1.6806969832015202,,1.0,12.0,399.26666666666665,8.0,2.0,18.0,0.0,0.0,16.0,181.53333333333342,2.0,2.0,0.0,0.0,0.0,13.0,56.4666666666667,1.0,1.0,0.0,0.0
30,21,4,1.1,bounded,hard,19.24917236538221,False,2.713855749985669,0.46294241094578253,True,14.222225459001493,max_iterations,405600,0.27924167877003425,False,0.1375799406594902,0.24082362517519623,True,2820,4716,300.5625318749808,0.24082362517519623,19.008348740207015,78.93058135960986,0.2221187857705863,0.9223297158200223,,3.0,11.0,480.80000000000007,8.0,2.0,18.0,0.0,0.0,14.0,166.39999999999992,2.0,1.0,0.0,0.0,0.0,14.0,47.99999999999994,1.0,1.0,0.0,0.0
40,21,0,1.1,bounded,hard,43.18812409648707,False,7.629166625003563,0.6906790452621665,True,26.604070542001864,max_iterations,542400,0.28822890755171815,False,0.1628896761048023,0.24127939415657773,True,3762,6286,300.2055908750044,0.24127939415657773,42.946844702330495,177.99632186766945,0.44939965110558877,1.8625695438125638,,7.0,15.0,538.5,8.0,2.0,24.0,0.0,0.0,20.0,286.0,2.0,2.0,1.0,0.0,0.0,19.0,70.0,1.0,1.0,0.0,0.0
40,21,1,1.1,certified,hard,37.07957488718174,False,7.907552458986174,0.49980376839172874,True,29.37759950000327,max_iterations,540000,0.26170304179516407,True,4.6699157950348633e-08,0.26170302957385233,True,3756,6241,16.764241958997445,0.26170304179516407,36.81787184538658,140.68568554966993,0.23810072659656467,0.9098126065455784,,6.0,18.0,532.9000000000001,7.0,2.0,11.0,0.0,0.0,18.0,237.24999999999991,3.0,1.0,0.0,0.0,0.0,18.0,48.999999999999886,1.0,1.0,0.0,0.0
40,21,2,1.1,bounded,hard,1.122569370963004,False,6.667904707981506,0.6676077052119388,True,27.0794965410023,max_iterations,544800,0.27003881226035376,False,0.11963539887338737,0.23773260456277523,True,3768,6331,300.1155746250006,0.23773260456277523,0.8848367664002288,3.721983225765654,0.42987510064916357,1.8082294662095941,,0.0,18.0,532.3,8.0,2.0,24.0,0.0,0.0,18.0,292.4,2.0,2.0,1.0,0.0,0.0,18.0,57.30000000000001,1.0,1.0,0.0,0.0
40,21,3,1.1,bounded,hard,25.132565407060465,False,7.5396462499920744,0.6776235538418449,True,24.96503716602456,max_iterations,544800,0.28613135116806676,False,0.1291398395842536,0.2491803943781969,True,3768,6271,300.5158234999981,0.2491803943781969,24.883385012682268,99.86092635729268,0.428443159463648,1.7194095889156218,,4.0,19.0,492.0,8.0,2.0,12.0,0.0,0.0,21.0,276.0,2.0,2.0,0.0,0.0,0.0,19.0,69.0,1.0,1.0,0.0,0.0
40,21,4,1.1,bounded,hard,31.221264659191995,False,6.509256790974177,0.6592119593404243,True,24.73299033398507,max_iterations,535200,0.2764601525539284,False,0.1646362565752586,0.23094478794522477,True,3744,6226,300.1149906250066,0.23094478794522477,30.99031987124677,134.18930189754713,0.42826717139519954,1.8544136683300056,,5.0,14.0,616.3,8.0,2.0,18.0,0.0,0.0,20.0,268.04999999999995,2.0,2.0,0.0,0.0,0.0,18.0,62.24999999999997,1.0,1.0,0.0,0.0
