n,days,seed_inst,coverage_ratio,seed_sa,phys_id,part_time,is_exempt,hours,n_shifts,n_guardias,n_weekend,n_holiday
8,14,1,1.1,10,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,10,5,1.0,False,86.0,8,3,0,0
8,14,1,1.1,10,6,1.0,False,83.0,8,2,1,0
8,14,1,1.1,10,7,1.0,False,86.0,8,3,0,0
8,14,1,1.1,10,8,1.0,False,83.0,9,2,0,0
8,14,1,1.1,11,1,1.0,False,86.0,8,3,0,0
8,14,1,1.1,11,2,1.0,False,86.0,7,3,1,0
8,14,1,1.1,11,3,1.0,False,86.0,7,3,1,0
8,14,1,1.1,11,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,11,5,1.0,False,86.0,8,3,0,0
8,14,1,1.1,11,6,1.0,False,83.0,8,2,1,0
8,14,1,1.1,11,7,1.0,False,83.0,9,2,0,0
8,14,1,1.1,11,8,1.0,False,83.0,9,2,0,0
8,14,1,1.1,12,1,1.0,False,86.0,8,3,0,0
8,14,1,1.1,12,2,1.0,False,86.0,7,3,1,0
8,14,1,1.1,12,3,1.0,False,86.0,7,3,1,0
8,14,1,1.1,12,4,1.0,False,83.0,8,2,1,0
8,14,1,1.1,12,5,1.0,False,83.0,9,2,0,0
8,14,1,1.1,12,6,1.0,False,86.0,7,3,1,0
8,14,1,1.1,12,7,1.0,False,83.0,9,2,0,0
8,14,1,1.1,12,8,1.0,False,86.0,8,3,0,0
8,14,1,1.1,13,1,1.0,False,86.0,8,3,0,0
8,14,1,1.1,13,2,1.0,False,86.0,7,3,1,0
8,14,1,1.1,13,3,1.0,False,86.0,7,3,1,0
8,14,1,1.1,13,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,13,5,1.0,False,83.0,9,2,0,0
8,14,1,1.1,13,6,1.0,False,86.0,7,3,1,0
8,14,1,1.1,13,7,1.0,False,83.0,9,2,0,0
8,14,1,1.1,13,8,1.0,False,83.0,9,2,0,0
8,14,1,1.1,14,1,1.0,False,86.0,8,3,0,0
8,14,1,1.1,14,2,1.0,False,86.0,7,3,1,0
8,14,1,1.1,14,3,1.0,False,86.0,7,3,1,0
8,14,1,1.1,14,4,1.0,False,83.0,8,2,1,0
8,14,1,1.1,14,5,1.0,False,86.0,8,3,0,0
8,14,1,1.1,14,6,1.0,False,83.0,8,2,1,0
8,14,1,1.1,14,7,1.0,False,83.0,9,2,0,0
8,14,1,1.1,14,8,1.0,False,86.0,8,3,0,0
8,14,1,1.1,15,1,1.0,False,83.0,9,2,0,0
8,14,1,1.1,15,2,1.0,False,86.0,7,3,1,0
8,14,1,1.1,15,3,1.0,False,86.0,7,3,1,0
8,14,1,1.1,15,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,15,5,1.0,False,90.0,10,2,0,0
8,14,1,1.1,15,6,1.0,False,86.0,7,3,1,0
8,14,1,1.1,15,7,1.0,False,79.0,7,3,0,0
8,14,1,1.1,15,8,1.0,False,86.0,8,3,0,0
8,14,1,1.1,16,1,1.0,False,83.0,9,2,0,0
8,14,1,1.1,16,2,1.0,False,86.0,7,3,1,0
8,14,1,1.1,16,3,1.0,False,86.0,7,3,1,0
8,14,1,1.1,16,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,16,5,1.0,False,83.0,9,2,0,0
8,14,1,1.1,16,6,1.0,False,86.0,7,3,1,0
8,14,1,1.1,16,7,1.0,False,86.0,8,3,0,0
8,14,1,1.1,16,8,1.0,False,83.0,9,2,0,0
8,14,1,1.1,17,1,1.0,False,86.0,8,3,0,0
8,14,1,1.1,17,2,1.0,False,83.0,8,2,1,0
8,14,1,1.1,17,3,1.0,False,83.0,8,2,1,0
8,14,1,1.1,17,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,17,5,1.0,False,86.0,8,3,0,0
8,14,1,1.1,17,6,1.0,False,83.0,8,2,1,0
8,14,1,1.1,17,7,1.0,False,86.0,8,3,0,0
8,14,1,1.1,17,8,1.0,False,86.0,8,3,0,0
8,14,1,1.1,18,1,1.0,False,86.0,8,3,0,0
8,14,1,1.1,18,2,1.0,False,86.0,7,3,1,0
8,14,1,1.1,18,3,1.0,False,86.0,7,3,1,0
8,14,1,1.1,18,4,1.0,False,86.0,7,3,1,0
8,14,1,1.1,18,5,1.0,False,83.0,9,2,0,0
8,14,1,1.1,18,6,1.0,False,86.0,7,3,1,0
8,14,1,1.1,18,7,1.0,False,83.0,9,2,0,0
8,14,1,1.1,18,8,1.0,False,83.0,9,2,0,0
8,14,1,1.1,19,1,1.0,False,83.0,9,2,0,0
8,14,1,1.1,19,2,1.0,False,86.0,8,3,0,0
8,14,1,1.1,19,3,1.0,False,86.0,6,3,2,0
8,14,1,1.1,19,4,1.0,False,83.0,9,2,0,0
8,14,1,1.1,19,5,1.0,False,86.0,8,3,0,0
8,14,1,1.1,19,6,1.0,False,86.0,6,3,2,0
8,14,1,1.1,19,7,1.0,False,83.0,9,2,0,0
8,14,1,1.1,19,8,1.0,False,86.0,8,3,0,0
8,14,1,1.1,20,1,1.0,False,86.0,8,3,0,0
8,14,1,1.1,20,2,1.0,False,86.0,7,3,1,0
8,14,1,1.1,20,3,1.0,False,86.0,7,3,1,0
8,14,1,1.1,20,4,1.0,False,83.0,8,2,1,0
