n,days,seed,coverage_ratio,regime,coverage_mode,z_greedy,feas_greedy,t_greedy,z_sa,feas_sa,t_sa,sa_stop,sa_iters,z_exact,proven,gap_solver,dual_bound,match,n_vars,n_cons,t_exact,ref,dz_greedy,gap_greedy,dz_sa,gap_sa,exact_error,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref,exact_p_cob,exact_p_erg,exact_p_car,exact_p_gua,exact_p_cal,exact_p_over,exact_pref
8,21,0,1.3,certified,hard,31.016277018825253,True,0.1294034169986844,0.4314628372716608,True,2.242096207999566,max_iterations,110400,0.28331468912351265,True,2.4431785371809487e-08,0.2833146822016288,True,762,1301,1.8469698749977397,0.28331468912351265,30.732962329701742,108.47641689451383,0.14814814814814814,0.5229102261039564,,5.0,6.0,111.25,7.0,2.0,18.0,0.0,0.0,6.0,12.0,1.0,2.0,20.0,0.0,0.0,6.0,12.0,1.0,1.0,20.0,0.0
8,21,1,1.3,certified,hard,43.47464973351138,False,0.13766729100461816,0.4314628372716608,True,2.2176767909986665,max_iterations,105600,0.4314628372716608,True,3.653974175491017e-08,0.43146282150612003,True,750,1256,13.017150542000309,0.4314628372716608,43.04318689623972,99.76105281377582,0.0,0.0,,7.0,3.0,196.75,8.0,3.0,30.0,0.0,0.0,6.0,12.0,1.0,2.0,20.0,0.0,0.0,6.0,12.0,1.0,2.0,20.0,0.0
8,21,2,1.3,certified,hard,24.954795014590953,True,0.11499525000544963,0.28331468912351265,True,2.2780090419983026,max_iterations,115200,0.28331468912351265,True,3.134405839738368e-08,0.2833146802432803,True,774,1316,12.85702716599917,0.28331468912351265,24.671480325467442,87.0815431483391,0.0,0.0,,4.0,6.0,94.25,7.0,2.0,18.0,0.0,0.0,6.0,12.0,1.0,1.0,20.0,0.0,0.0,6.0,12.0,1.0,1.0,20.0,0.0
8,21,3,1.3,certified,hard,55.595695684297,False,0.1141969579985016,0.44265154746756125,True,2.0877905419984017,max_iterations,108000,0.44265154746756125,True,0.0,0.4426515433051379,True,756,1271,1.0264281669951743,0.44265154746756125,55.153044136829436,124.596975775559,0.0,0.0,,9.0,3.0,227.25,9.0,3.0,30.0,0.0,0.0,6.0,14.25,1.0,2.0,27.0,0.0,0.0,6.0,14.25,1.0,2.0,27.0,0.0
8,21,4,1.3,bounded,hard,61.667160588029766,False,0.10523054200166371,0.4347651272248942,True,2.2159873330019764,max_iterations,108000,0.43103663110946683,False,0.048513106460428286,0.4101257051361089,True,756,1286,300.8917586249954,0.4101257051361089,61.257034882893656,149.36160819903793,0.02463942208878528,0.06007773173010008,,10.0,4.0,242.5,8.0,3.0,30.0,0.0,0.0,6.0,15.0,1.0,2.0,12.0,0.0,0.0,6.0,3.0,2.0,2.0,6.0,0.0
8,21,0,1.5,certified,hard,49.46458628671955,True,0.07536241700290702,0.5972597593098636,True,1.9640864159955527,max_iterations,110400,0.35540792909801794,True,4.994143916462165e-08,0.3554079113484342,True,762,1301,26.640224624999973,0.35540792909801794,49.10917835762153,138.1769351129972,0.2418518302118457,0.6804908118556505,,8.0,6.0,207.5,9.0,3.0,60.0,0.0,0.0,6.0,33.5,2.0,2.0,114.0,0.0,0.0,6.0,17.25,1.0,1.0,97.0,0.0
8,21,1,1.5,certified,soft,85.16793790164252,False,0.16304400000080932,12.556343180146705,True,2.1291203329965356,max_iterations,105600,6.505802229356252,True,3.221486646241467e-09,6.5058022228287875,True,786,1256,1.3572065420012223,6.505802229356252,78.66213567228627,12.091073921266412,6.050540950790452,0.9300222689660752,,14.0,1.0,275.25,6.0,1.0,15.0,0.0,2.0,4.0,26.25,2.0,2.0,87.0,0.0,1.0,5.0,14.25,1.0,2.0,108.0,0.0
8,21,2,1.5,certified,hard,49.12686264064813,True,0.13407620799989672,0.3259305583630932,True,2.40432529199461,max_iterations,115200,0.3259305583630932,True,3.056842705905572e-08,0.3259305483999085,True,774,1316,5.510867999997572,0.3259305583630932,48.80093208228504,149.72800441718576,0.0,0.0,,8.0,5.0,152.0,8.0,2.0,26.0,0.0,0.0,6.0,12.0,1.0,1.0,76.0,0.0,0.0,6.0,12.0,1.0,1.0,76.0,0.0
8,21,3,1.5,bounded,hard,67.53113548199528,False,0.12248679200274637,6.677870341700457,True,2.1316995000015595,max_iterations,108000,0.503556077246166,False,0.03135693047217296,0.4877661043431176,True,756,1271,300.9100918749973,0.4877661043431176,67.04336937765216,137.44983257485782,6.190104237357339,12.690722422571062,,11.0,3.0,243.75,9.0,3.0,30.0,0.0,1.0,6.0,43.5,3.0,2.0,124.0,0.0,0.0,6.0,17.25,1.0,2.0,97.0,0.0
8,21,4,1.5,certified,hard,91.83052283740038,False,0.07117816599929938,0.4871478263022381,True,1.8454272500021034,max_iterations,108000,0.4711050455535749,True,3.952639653617204e-08,0.47110502693248985,True,756,1286,7.030280250000942,0.4711050455535749,91.35941779184681,193.92578927804595,0.016042780748663166,0.034053510782954995,,15.0,3.0,320.5,9.0,3.0,30.0,0.0,0.0,6.0,21.0,1.0,2.0,62.0,0.0,0.0,6.0,15.0,1.0,2.0,62.0,0.0
